# Users,Ramp,Machine,Duration,Total requests,Success requests,Success percent
600,10,container,222,36756.0,31190.0,84.85689411252585
600,10,container,215,34998.0,29622.0,84.63912223555631
600,10,container,222,36200.0,30690.0,84.77900552486187
600,10,container,223,38132.0,32521.0,85.28532466170145
600,10,container,227,40218.0,34681.0,86.23253269680242
600,10,container,232,38939.0,33435.0,85.86507100850048
600,10,container,235,40877.0,35223.0,86.16826088020159
600,10,container,202,32478.0,27529.0,84.76199273354271
600,10,container,219,36120.0,30627.0,84.79235880398672
600,10,container,219,36711.0,31389.0,85.50298275721174
600,10,container,215,35891.0,30508.0,85.00181103897913
600,10,container,221,39283.0,33815.0,86.08049283405035
600,10,container,211,33073.0,28213.0,85.30523387657605
600,10,container,229,37780.0,32267.0,85.40762308099524
600,10,container,198,33108.0,27968.0,84.47505134710644
600,10,container,221,35367.0,30415.0,85.99824695337462
600,10,container,216,36850.0,31353.0,85.08276797829036
600,10,container,219,37603.0,32141.0,85.47456319974471
600,10,container,205,33174.0,28050.0,84.55416892747333
600,10,container,215,35198.0,29707.0,84.39968180010227
600,10,container,211,35520.0,30165.0,84.92398648648648
600,10,container,217,37479.0,31907.0,85.13300781771125
600,10,container,201,32754.0,27697.0,84.56066434633938
600,10,container,215,35504.0,30126.0,84.85241099594411
600,10,vm,865,39472.0,34040.0,86.23834616943657
600,10,vm,835,40406.0,34825.0,86.18769489679751
600,10,vm,688,41520.0,36003.0,86.71242774566474
600,10,vm,741,40142.0,34495.0,85.93243983857306
600,10,vm,684,40697.0,35135.0,86.33314494925916
600,10,vm,662,43470.0,38019.0,87.46031746031746
600,10,vm,668,40633.0,35112.0,86.41252184185268
600,10,vm,1017,41447.0,35750.0,86.25473496272348
600,10,vm,750,41421.0,36007.0,86.92933536129017
600,10,vm,663,40717.0,35300.0,86.69597465432129
600,10,vm,648,41987.0,36605.0,87.18174673113107
600,10,vm,673,41022.0,35565.0,86.69738189264297
600,10,vm,652,40310.0,34951.0,86.70553212602331
600,10,vm,652,41164.0,35654.0,86.61451753959771
600,10,vm,672,41393.0,35978.0,86.91807793588288
600,10,vm,627,42359.0,37030.0,87.41943860808802
600,10,vm,243,41034.0,36303.0,88.47053662816201
600,10,vm,696,39914.0,34533.0,86.51851480683469
600,10,vm,947,41105.0,35317.0,85.91898795766939
600,10,vm,661,41746.0,36402.0,87.198773535189
600,10,vm,704,41362.0,35785.0,86.51660944828586
600,10,vm,720,40966.0,35538.0,86.74998779475662
600,10,vm,661,39131.0,33731.0,86.20019933045411
600,10,vm,638,39122.0,33728.0,86.21236133122028
600,10,vm,689,41631.0,36131.0,86.78869111959838
600,10,vm,753,40169.0,34746.0,86.49953944584132
600,10,vm,790,40659.0,35096.0,86.31791239332006
600,10,vm,1153,41090.0,35352.0,86.0355317595522
600,10,vm,812,42017.0,36446.0,86.74108099102745
600,10,vm,673,40633.0,35186.0,86.59463982477297
800,10,container,228,39001.0,31619.0,81.07228019794364
800,10,container,223,36409.0,29571.0,81.21892938559148
800,10,container,219,38749.0,31519.0,81.34145397300576
800,10,container,238,38295.0,30904.0,80.69983026504765
800,10,container,220,36820.0,30115.0,81.78978815860945
800,10,container,243,41901.0,34311.0,81.88587384549295
800,10,container,213,36850.0,29691.0,80.57259158751697
800,10,container,225,38849.0,31652.0,81.47442662616798
800,10,container,219,35810.0,29134.0,81.35716280368612
800,10,container,228,38331.0,30924.0,80.67621507396102
800,10,container,221,38309.0,31000.0,80.92093241796967
800,10,container,233,41269.0,33810.0,81.92590079720856
800,10,container,209,35291.0,28051.0,79.48485449548043
800,10,container,229,39622.0,32307.0,81.53803442531927
800,10,container,218,36592.0,29441.0,80.45747704416266
800,10,container,220,41328.0,34155.0,82.64372822299651
800,10,container,243,37376.0,31104.0,83.21917808219177
800,10,container,220,39517.0,32205.0,81.49657109598401
800,10,container,235,40916.0,33328.0,81.45468765275199
800,10,container,226,38893.0,31476.0,80.92973028565552
800,10,container,223,39238.0,31874.0,81.23247871960854
800,10,container,227,39002.0,31641.0,81.1266088918517
800,10,container,246,45360.0,37746.0,83.21428571428571
800,10,container,224,38416.0,31103.0,80.96366097459392
800,10,container,231,40881.0,33341.0,81.55622416281402
800,10,container,227,38978.0,31558.0,80.96362050387398
800,10,container,210,36467.0,29424.0,80.68664820248443
800,10,container,245,42733.0,35259.0,82.51000397819016
800,10,container,242,44554.0,37110.0,83.29218476455537
800,10,container,244,42731.0,35032.0,81.98263555732372
800,10,vm,872,43994.0,36394.0,82.72491703414101
800,10,vm,781,43719.0,36118.0,82.61396646766852
800,10,vm,656,44255.0,37076.0,83.77810416902045
800,10,vm,800,46391.0,38649.0,83.31141816300575
800,10,vm,727,44807.0,37439.0,83.55614078157431
800,10,vm,86,7200.0,0.0,0.0
